id;raisonsociale;numero;email;commentaire;lotsoumis;lotrecu;libelle;elimine;montant_offert;montant_definitif;montant_garantie;montant_tva;montant_douane;montant_ttc;rabais;rang;score_technique;score_financier;prix_evalue;score_technique_pondere;score_financier_pondere;score_final;date_depot;classement_general;classemen_technique;etat_preselection;etat_examen_preliminaire;critere_qualification;attributaire_provisoire;plil_valide;lettre_soumission;offre_technique;offre_financiere;plinumero
1;deliverables Versatile;innovative integrated salmon;Jason_Stracke25@gmail.com;moratorium Monitored;Intranet;secured line streamline frame;Applications Designer Rubber;digital circuit Engineer;41880;22068;30259;25732;98305;51817;35681;13603;36087;30735;54204;24067;54678;66140;2021-01-12;80634;15712;26347;5967;15874;52651;70803;65726;38854;85077;54482
2;Applications deposit Auto Loan Account;Organized Steel;Alford.Corwin@yahoo.com;reinvent;Home Loan Account Computer;world-class cross-media pricing structure;Bedfordshire Curve pink;Turnpike;29448;57629;92547;45294;33690;3288;99859;28840;53240;31094;6461;93063;69530;38151;2021-01-12;90133;84460;28083;7683;21343;50040;71360;20481;75708;69165;84984
3;program turquoise;technologies Bulgarian Lev empower;Willy.Kassulke@hotmail.com;Facilitator Checking Account Industrial;Belarus web-enabled;Loop South Georgia and the South Sandwich Islands;Assurance;SDR;78282;59146;5497;54161;37456;3555;31857;14738;39093;23781;69404;37090;32465;42194;2021-01-13;31479;44588;26600;2535;39456;9751;96765;76782;11567;76138;56413
4;synthesize Computer;blue;Jayne.Bernhard@hotmail.com;Generic Clothing salmon;Iowa relationships Iowa;relationships Analyst;productivity Engineer;transmitter;93161;29683;79716;766;57062;60581;52765;10172;96830;99130;12970;74074;84168;49085;2021-01-13;61889;70299;15533;12842;78474;23924;9414;21307;28800;8372;43999
5;Wooden Producer;turn-key integrate;Cameron_Conroy@hotmail.com;Games Ridges;Savings Account;context-sensitive Euro Gourde US Dollar;Michigan bypass Checking Account;Central synthesizing Falls;92348;30616;53553;97308;68441;5341;83390;49092;25599;68203;94890;6547;61878;9630;2021-01-12;28023;962;69829;47131;21645;97474;99860;85136;23697;73914;58093
6;approach withdrawal;Frozen leading-edge;Chase.Hauck@gmail.com;full-range firewall;Hill payment vortals;24/7 Washington Marketing;Markets Distributed;Table;44420;56897;69227;61893;38686;33601;45599;61972;25061;27986;80382;53583;98897;3264;2021-01-13;71754;83603;67698;59803;76104;29971;2246;67541;46368;28121;41674
7;Cotton;indexing;Alessia.Gislason57@yahoo.com;Specialist;optical deposit;Small Plastic Table;Grass-roots;interface;6175;8878;302;94449;32783;99481;42290;40501;87608;79845;33079;60259;16751;68605;2021-01-13;9155;623;47331;89558;73617;12815;27179;23065;71140;44099;6025
8;ROI Group;compelling parallelism;Corene.Howe60@yahoo.com;Computer;deposit Sausages;plum;matrix;Chief Jewelery e-services;21089;47000;37187;6976;83427;96116;80393;17997;95534;99508;50252;28220;23117;3032;2021-01-12;94562;11818;96949;76269;71518;91884;47133;42975;42947;28743;24001
9;Plaza Soap synthesizing;RAM Plastic;Mozelle_Doyle21@gmail.com;Practical;Shoes Personal Loan Account payment;24/7;wireless system engine Rustic;connecting feed;75977;57637;299;70021;47692;40020;62829;97576;70405;82182;65839;99042;1697;99935;2021-01-13;10677;6909;19189;59770;47105;40114;67755;15039;70723;64890;19879
10;encompassing;protocol Handmade Granite Shoes Bedfordshire;Lorenzo43@hotmail.com;Florida Granite web-readiness;Island digital;Stravenue Saint Helena;Alaska override open-source;ubiquitous end-to-end;58083;63750;93181;49495;72994;82618;21224;34865;76124;62303;79019;49388;11497;82298;2021-01-13;57595;45180;85584;78184;37899;81034;71089;79218;67774;77217;8414
