id;nom_soumissionnaire;telephone;email;mode_paiement;ninea;montant_verse;date_retrait
1;multi-byte static;482.727.3834;Dallas83@hotmail.com;Virtual Garden Key;intermediate Credit Card Account Mandatory;69358;2021-01-12
2;Chief navigating mission-critical;899.562.5677 x51938;Mae_Auer@yahoo.com;client-driven;Producer;80140;2021-01-12
3;Rustic maximize real-time;946.205.8176 x74947;Wilhelmine91@gmail.com;sky blue Moldovan Leu Czech Republic;communities Incredible Metal Bacon hack;95559;2021-01-13
4;Bulgarian Lev;402-546-9613;Emil.Wisozk67@gmail.com;revolutionize Gorgeous;infrastructure maroon Engineer;16202;2021-01-12
5;software lime;(799) 445-3566 x48793;Halle_Bergnaum@hotmail.com;Concrete Avon;Customizable;33074;2021-01-12
6;alarm;536-097-7358 x825;Salma24@gmail.com;Unbranded Soft Cheese Checking Account;Rhode Island;46390;2021-01-12
7;withdrawal coherent Liaison;004.042.2528;Abner63@yahoo.com;Cambridgeshire Missouri neural;Corporate indexing Re-contextualized;85256;2021-01-13
8;backing up Bouvet Island (Bouvetoya) Facilitator;402-156-5164 x48781;Dexter_Blanda@yahoo.com;transmitting;Metal SSL;15879;2021-01-12
9;enhance;(056) 651-6704 x950;Audrey_Labadie9@hotmail.com;Director;Soft Borders;46069;2021-01-13
10;Delaware;(965) 172-2052;Benton_Luettgen54@hotmail.com;interactive extensible;secured line Bacon;90409;2021-01-12
